Symbol,Name,AtomicNumber,AddH,Colour,CovalentRadius,VdWRadius,Valency,Mass,Valences,Isotopes,Group,Row,PTRow,PTColumn,PTElementType
Du,Dummy,0,FALSE,#808080,0,0,0,0,,,,,,,
M,Metal,0,FALSE,#808080,0,0,0,0,,,,,,,
R,Residue,0,FALSE,#808080,0,0,0,0,,,,,,,
R1,Residue,0,FALSE,#808080,0,0,0,0,,,,,,,
R2,Residue,0,FALSE,#808080,0,0,0,0,,,,,,,
R3,Residue,0,FALSE,#808080,0,0,0,0,,,,,,,
R4,Residue,0,FALSE,#808080,0,0,0,0,,,,,,,
R5,Residue,0,FALSE,#808080,0,0,0,0,,,,,,,
R6,Residue,0,FALSE,#808080,0,0,0,0,,,,,,,
R7,Residue,0,FALSE,#808080,0,0,0,0,,,,,,,
R8,Residue,0,FALSE,#808080,0,0,0,0,,,,,,,
R9,Residue,0,FALSE,#808080,0,0,0,0,,,,,,,
R10,Residue,0,FALSE,#808080,0,0,0,0,,,,,,,
R11,Residue,0,FALSE,#808080,0,0,0,0,,,,,,,
R12,Residue,0,FALSE,#808080,0,0,0,0,,,,,,,
R13,Residue,0,FALSE,#808080,0,0,0,0,,,,,,,
R14,Residue,0,FALSE,#808080,0,0,0,0,,,,,,,
R15,Residue,0,FALSE,#808080,0,0,0,0,,,,,,,
R16,Residue,0,FALSE,#808080,0,0,0,0,,,,,,,
X,Halogen,0,FALSE,#808080,0,0,0,0,,,,,,,
D,Deuterium,1,FALSE,#808080,0,0,0,2,,,,,,,
H,Hydrogen,1,FALSE,#808080,0.31,1.2,1,1.00794,1,1|2|3,1,1,0,0,non_metal
T,Tritium,1,FALSE,#808080,0,0,1,3,,,,,,,
He,Helium,2,FALSE,#D9FFFF,0.28,1.4,0,4.002602,0,3|4,18,1,0,17,noble_gas
Li,Lithium,3,FALSE,#CC80FF,1.28,1.82,1,6.941,1,,1,2,1,0,alkali_metal
Be,Beryllium,4,FALSE,#C2FF00,0.96,0,2,9.012182,2,,2,2,1,1,alkaline_earth_metal
B,Boron,5,TRUE,#FFB5B5,0.84,0,3,10.811,3,9|11,13,2,1,12,metalloid
C,Carbon,6,TRUE,#909090,0.76,1.7,4,12.011,4|2|3,11|12|13|14,14,2,1,13,non_metal
N,Nitrogen,7,TRUE,#3050F8,0.71,1.55,3,14.00674,3|5,14|15,15,2,1,14,non_metal
O,Oxygen,8,TRUE,#FF0D0D,0.66,1.52,2,15.9994,2,16|17|18,16,2,1,15,non_metal
F,Fluorine,9,TRUE,#90E050,0.57,1.47,1,18.9984032,1,19,17,2,1,16,halogen
Ne,Neon,10,FALSE,#B3E3F5,0.58,1.54,0,20.1797,0,,18,2,1,17,noble_gas
Na,Sodium,11,FALSE,#AB5CF2,1.66,2.27,1,22.989768,1,,1,3,2,0,alkali_metal
Mg,Magnesium,12,FALSE,#8AFF00,1.41,1.73,0,24.305,2,,2,3,2,1,alkaline_earth_metal
Al,Aluminum,13,FALSE,#BFA6A6,1.21,0,0,26.981539,3,,13,3,2,12,other_metal
Si,Silicon,14,TRUE,#F0C8A0,1.11,2.1,4,28.0855,4,,14,3,2,13,metalloid
P,Phosphorus,15,TRUE,#FF8000,1.07,1.8,3,30.973762,3|5,,15,3,2,14,non_metal
S,Sulfur,16,TRUE,#808000,1.05,1.8,2,32.066,2|4|6,,16,3,2,15,non_metal
Cl,Chlorine,17,TRUE,#1FF01F,1.02,1.75,1,35.4527,1|3|5|7,35|37,17,3,2,16,halogen
